model,params,fold,mse,rmse,mae
Ridge Regression,alpha=1.0,3,0.002665007765501648,0.051623713209160454,0.03807187512134994
Ridge Regression,alpha=10.0,3,0.0026645582434707644,0.05161935919275601,0.03804014267462945
Ridge Regression,alpha=100.0,3,0.002673213253774386,0.051703126150885556,0.03768367872511668
Content KNN,k=1,3,0.006889748344370862,0.08300450797619888,0.05833112582781457
Content KNN,k=3,3,0.00454935288867437,0.06744889093731912,0.047520070751301095
Content KNN,k=5,3,0.004203896659415621,0.064837463394365,0.04651515497942356
Content KNN,k=7,3,0.003583334135486474,0.05986095668702994,0.043732319914428774
Content KNN,k=10,3,0.0035379150730175334,0.05948037552855171,0.04472948243910132
Content KNN,k=15,3,0.003567697255858543,0.059730203882613214,0.04530845839769886
Content KNN,k=20,3,0.003687175699442134,0.06072211870020787,0.045246791043601825
Content KNN,k=30,3,0.0036623367238224867,0.06051724319417142,0.045131083035717424
Graph-augmented MLP,hidden_dim=16;lr=0.01;epochs=300,3,0.031672421390815775,0.1779674728449437,0.13594492732189864
Graph-augmented MLP,hidden_dim=32;lr=0.01;epochs=300,3,0.05235517559747575,0.22881253374209148,0.16334973980338358
Graph-augmented MLP,hidden_dim=64;lr=0.03;epochs=800,3,0.007145819143684028,0.08453294708978286,0.06355176811415589
Train Mean,,4,0.011679468235384715,0.10807158847442151,0.08532475400773908
Ridge Regression,alpha=0.0,4,0.0034850800495457063,0.05903456656523961,0.044636244750939594
Ridge Regression,alpha=0.001,4,0.003542774144466093,0.05952120751854832,0.04503743317068624
Ridge Regression,alpha=0.01,4,0.003542431063967433,0.05951832544660034,0.04503600161537614
Ridge Regression,alpha=0.1,4,0.003539032271472511,0.05948976610705837,0.04502180155786461
Ridge Regression,alpha=1.0,4,0.0035079956278479254,0.05922833467056055,0.044890922383696796
Ridge Regression,alpha=10.0,4,0.0033500480948035955,0.057879599988282536,0.04433973096845667
Ridge Regression,alpha=100.0,4,0.0033074361877237935,0.05751031375087249,0.04468988139327719
Content KNN,k=1,4,0.008988746666666665,0.0948090009791616,0.06762666666666668
Content KNN,k=3,4,0.005442578473904162,0.07377383326020251,0.05703844544583535
Content KNN,k=5,4,0.004755809799874275,0.06896237959840333,0.05373850012924238
Content KNN,k=7,4,0.004609657389303216,0.06789445772154909,0.05324901443516854
Content KNN,k=10,4,0.004649435761894964,0.06818677116490386,0.05319549061680274
