lecture_id,article_count,rating_count,rating_average,rating_average_norm,assignment_low_score,assignment_high_score,teamwork_low_score,teamwork_high_score,grading_generous_score,grading_strict_score,attendance_light_score,attendance_strict_score,exam_light_score,exam_heavy_score,text_assignment_negative_tfidf,text_assignment_positive_tfidf,text_assignment_tfidf,text_attendance_negative_tfidf,text_attendance_positive_tfidf,text_attendance_tfidf,text_exam_negative_tfidf,text_exam_positive_tfidf,text_exam_tfidf,text_grading_negative_tfidf,text_grading_positive_tfidf,text_grading_tfidf,text_negative_count,text_negative_ratio,text_neutral_count,text_neutral_ratio,text_positive_count,text_positive_ratio,text_review_count,text_teaching_negative_tfidf,text_teaching_positive_tfidf,text_teaching_tfidf,text_teamwork_negative_tfidf,text_teamwork_positive_tfidf,text_teamwork_tfidf
43662,20,393,3.77,0.754,0.244275,0.755725,0.28626,0.71374,0.571247,0.428753,0.117048,0.704835,0.935751,0.037532,0.0,0.061321,0.064408,0.0,0.079047,0.034431,0.0,0.013755,0.042439,0.0,0.038344,0.070763,1,0.05,6,0.3,13,0.65,20,0.0,0.039678,0.039678,0.0,0.393636,0.127896
2315768,5,45,4.47,0.894,0.966666,0.033334,0.988889,0.011111,0.677778,0.322222,0.355556,0.288889,0.4,0.4,0.0,0.122643,0.085877,0.0,0.0,0.0,0.0,0.097422,0.097422,0.0,0.255139,0.255139,0,0.0,0,0.0,5,1.0,5,0.0,0.2083,0.2083,0.0,0.22159,0.048771
2315360,20,72,4.68,0.936,0.485916,0.514085,0.936619,0.063381,0.866197,0.133804,0.09155,0.816901,0.393662,0.411267,0.0,0.061321,0.042938,0.0,0.0,0.0,0.0,0.055204,0.055204,0.0,0.141527,0.141527,1,0.05,1,0.05,18,0.9,20,0.0,0.118557,0.118557,0.0,0.05,0.011005
2377122,20,94,4.72,0.944,0.872341,0.12766,0.978724,0.021277,0.781915,0.218085,0.026596,0.87234,0.459575,0.331915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012178,0.012178,0.0,0.064838,0.064838,0,0.0,0,0.0,20,1.0,20,0.0,0.052075,0.052075,0.0,0.0,0.0
44021,20,135,3.41,0.682,0.27037,0.72963,0.225926,0.774074,0.57037,0.429629,0.296296,0.359258,0.963333,0.020741,0.125,0.091982,0.214692,0.0,0.0,0.0,0.0,0.013755,0.013755,0.197822,0.032419,0.128623,10,0.5,4,0.2,6,0.3,20,0.0,0.0,0.0,0.0,0.110795,0.024386
2893091,20,63,4.52,0.904,0.873016,0.126984,0.984127,0.015873,0.690476,0.309524,0.428572,0.142857,0.403175,0.403175,0.0,0.030661,0.021469,0.137214,0.158094,0.103293,0.0,0.025933,0.082834,0.0,0.0,0.0,1,0.05,3,0.15,16,0.8,20,0.0,0.0,0.026038,0.0,0.0,0.0
42356,20,224,4.71,0.942,0.247769,0.752232,0.948661,0.05134,0.796875,0.203125,0.194196,0.598214,0.399107,0.403572,0.0,0.061321,0.042938,0.0,0.180853,0.078775,0.0,0.060986,0.060986,0.0,0.031892,0.031892,1,0.05,0,0.0,19,0.95,20,0.0,0.0,0.0,0.0,0.0,0.0
2087333,18,58,4.55,0.91,0.396552,0.603449,0.801724,0.198275,0.75,0.25,0.353448,0.275863,0.544828,0.268966,0.0,0.390781,0.356427,0.0,0.113117,0.049271,0.0,0.127036,0.211727,0.0,0.042605,0.114647,1,0.055556,1,0.055556,16,0.888889,18,0.0,0.0,0.0,0.013548,0.666902,0.241616
2454916,20,68,4.35,0.87,0.867647,0.132353,0.985294,0.014706,0.757352,0.242648,0.404412,0.125,0.4,0.4,0.0,0.242071,0.169503,0.0,0.0,0.0,0.13345,0.130673,0.261346,0.0,0.097257,0.12915,2,0.1,4,0.2,14,0.7,20,0.0,0.0,0.0,0.0,0.0,0.0
1688764,20,86,4.53,0.906,0.319767,0.680233,0.901163,0.098837,0.738373,0.261628,0.255814,0.453489,0.468023,0.345931,0.0,0.274523,0.278103,0.0,0.079047,0.068862,0.0,0.118664,0.181717,0.0,0.05,0.081892,0,0.0,2,0.1,18,0.9,20,0.0,0.0,0.0,0.0,0.0,0.0
991525,20,134,4.47,0.894,0.440299,0.559702,0.951493,0.048508,0.727612,0.272388,0.429104,0.410448,0.710821,0.044776,0.0,0.214625,0.150285,0.0,0.0,0.0,0.0,0.072577,0.072577,0.0,0.063785,0.063785,0,0.0,1,0.05,19,0.95,20,0.0,0.069123,0.069123,0.0,0.0,0.0
2249343,20,94,4.81,0.962,0.367021,0.632979,0.202128,0.797872,0.909575,0.090426,0.335106,0.303192,0.951064,0.025532,0.0,0.416026,0.291309,0.0,0.079047,0.034431,0.0,0.119248,0.119248,0.0,0.096204,0.096204,0,0.0,0,0.0,20,1.0,20,0.0,0.026038,0.026038,0.0,0.05,0.011005
2376855,20,64,4.28,0.856,0.65625,0.34375,0.96875,0.03125,0.789062,0.210938,0.460938,0.25,0.596875,0.175,0.0,0.0,0.0,0.0,0.079047,0.034431,0.373475,0.041853,0.171606,0.0,0.063785,0.063785,3,0.15,5,0.25,12,0.6,20,0.364029,0.140239,0.28277,0.0,0.0,0.0
2168689,20,159,2.42,0.484,0.402515,0.597484,0.955975,0.044025,0.625787,0.374214,0.154088,0.698113,0.397484,0.402201,0.0,0.0,0.021469,0.0,0.0,0.089279,0.0,0.0,0.036472,0.098911,0.070763,0.307967,10,0.5,6,0.3,4,0.2,20,0.092154,0.0,0.052075,0.0,0.0,0.0
