alpha,gamma,train_rmse_mean,train_rmse_std,valid_rmse_mean,valid_rmse_std,valid_mse_mean,valid_mae_mean,generalization_gap
0.03,1e-05,0.09219818,0.00248729,0.0922296,0.01120493,0.00863185,0.07077447,3.142e-05
0.03,3e-05,0.08661676,0.00269055,0.08699292,0.01105575,0.00769,0.06527051,0.00037616
0.03,0.0001,0.08447185,0.00280491,0.08530677,0.01065172,0.0073907,0.06305484,0.00083491
0.03,0.0003,0.08361466,0.0028652,0.08482832,0.01054246,0.00730699,0.06237798,0.00121366
0.03,0.001,0.08206023,0.00292495,0.08448692,0.01066866,0.00725186,0.06193151,0.00242669
0.03,0.003,0.0787013,0.00283286,0.08513075,0.01064666,0.0073606,0.06234985,0.00642945
0.03,0.01,0.07108788,0.00274052,0.08823483,0.01087199,0.00790359,0.06432115,0.01714695
0.03,0.03,0.05570248,0.00229722,0.10281183,0.0100447,0.01067117,0.07426959,0.04710934
0.1,1e-06,0.11219861,0.00221572,0.11218215,0.00948889,0.01267487,0.0888036,-1.646e-05
0.1,3e-06,0.10912133,0.00222589,0.10909232,0.00978693,0.01199692,0.08615858,-2.9e-05
0.1,1e-05,0.10180668,0.00229012,0.10175687,0.01049506,0.01046461,0.0797871,-4.982e-05
0.1,3e-05,0.09295108,0.00246591,0.09296563,0.01116739,0.00876732,0.07154451,1.455e-05
0.1,0.0001,0.08658615,0.00269074,0.08696679,0.01104677,0.00768525,0.06527825,0.00038064
0.1,0.0003,0.08446604,0.00280025,0.08529454,0.01066623,0.00738893,0.06314055,0.0008285
0.1,0.001,0.08327596,0.00286686,0.08479945,0.01052396,0.0073017,0.06234623,0.00152349
0.1,0.003,0.0815005,0.00285436,0.0854806,0.01036311,0.00741433,0.06265086,0.0039801
0.1,0.01,0.07608856,0.00276719,0.08797296,0.01009972,0.00784125,0.06434856,0.0118844
0.1,0.03,0.06457486,0.00254004,0.09870415,0.01021052,0.00984676,0.07147531,0.03412929
