feature_set,model,params,folds,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,epochs_mean
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.01;hidden_layer_sizes=(16,);learning_rate_init=0.001",5,0.01206878,0.00314945,0.1088785,0.01463749,0.08171561,0.00995087,947.6
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.001;hidden_layer_sizes=(16,);learning_rate_init=0.001",5,0.01220056,0.0031859,0.10948999,0.01457761,0.08270964,0.00996453,936.0
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.001;hidden_layer_sizes=(32,);learning_rate_init=0.001",5,0.0123443,0.00254482,0.11050571,0.01152336,0.08295707,0.00694462,702.8
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.01;hidden_layer_sizes=(64,);learning_rate_init=0.003",5,0.01283142,0.00182623,0.11301212,0.00772548,0.08447829,0.00594679,255.6
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.01;hidden_layer_sizes=(64,);learning_rate_init=0.001",5,0.01287997,0.00189907,0.1132015,0.00808621,0.08402429,0.00766642,596.6
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.01;hidden_layer_sizes=(64, 32);learning_rate_init=0.003",5,0.01302387,0.00310588,0.11328104,0.01383036,0.08340796,0.00851109,210.8
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.01;hidden_layer_sizes=(64, 32);learning_rate_init=0.001",5,0.01307771,0.00336443,0.11342969,0.01454006,0.08366445,0.00853901,326.6
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.001;hidden_layer_sizes=(64,);learning_rate_init=0.003",5,0.01309736,0.00152622,0.11426282,0.00643189,0.08559808,0.00456978,205.8
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.001;hidden_layer_sizes=(64,);learning_rate_init=0.001",5,0.01327459,0.00178057,0.11497049,0.00750819,0.08617969,0.00626726,467.2
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.01;hidden_layer_sizes=(32, 16);learning_rate_init=0.003",5,0.01337161,0.0041385,0.11431572,0.01742198,0.08652536,0.01194376,241.2
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.001;hidden_layer_sizes=(32,);learning_rate_init=0.003",5,0.01358103,0.00256558,0.11603263,0.01083767,0.08612176,0.00802256,432.6
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.001;hidden_layer_sizes=(64, 32);learning_rate_init=0.001",5,0.01360956,0.00345775,0.11571987,0.01478083,0.08530288,0.00862118,299.6
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.01;hidden_layer_sizes=(32,);learning_rate_init=0.003",5,0.0136748,0.00285996,0.11630961,0.01211934,0.08594191,0.00870185,429.4
tfidf16_leakage_safe,MLP,"activation=tanh;alpha=0.001;hidden_layer_sizes=(64, 32);learning_rate_init=0.003",5,0.01371775,0.00315747,0.11628359,0.01399561,0.08564019,0.00870516,205.0
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.001;hidden_layer_sizes=(32, 16);learning_rate_init=0.003",5,0.01372947,0.00428793,0.11576189,0.01812879,0.08841056,0.01264276,178.8
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.01;hidden_layer_sizes=(32, 16);learning_rate_init=0.001",5,0.01414089,0.00448181,0.11744313,0.0186547,0.08807636,0.01363053,419.8
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.01;hidden_layer_sizes=(32,);learning_rate_init=0.001",5,0.01425245,0.00369901,0.11833287,0.01580445,0.08813626,0.01115287,802.4
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.001;hidden_layer_sizes=(32, 16);learning_rate_init=0.001",5,0.01432951,0.00465477,0.11811827,0.01943146,0.08862529,0.01443783,386.2
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.001;hidden_layer_sizes=(32,);learning_rate_init=0.001",5,0.0145093,0.0035798,0.11948245,0.01527229,0.08873631,0.01019602,822.2
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.001;hidden_layer_sizes=(64, 32);learning_rate_init=0.003",5,0.01468889,0.00345241,0.12036588,0.01417569,0.09108431,0.01105644,187.4
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.01;hidden_layer_sizes=(64, 32);learning_rate_init=0.003",5,0.01470795,0.00319468,0.1205477,0.01327401,0.09078874,0.00956124,222.0
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.01;hidden_layer_sizes=(64, 32);learning_rate_init=0.001",5,0.01578813,0.00334034,0.12484855,0.01417648,0.0947783,0.01021563,433.0
tfidf16_leakage_safe,MLP,"activation=relu;alpha=0.001;hidden_layer_sizes=(64, 32);learning_rate_init=0.001",5,0.01639792,0.00328342,0.12730965,0.01379017,0.09709276,0.009987,305.2
